case_id,terminal_status,format,platform,style_id,narrative_structure,card_count,gate1_pass,gate2_pass,duration_s,degrade_level
comp_001_ai_medical,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,2.99,
comp_002_gov_report,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.86,
comp_003_nev_history,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.68,L1
comp_004_semiconductor_2025,passed,image,xiaohongshu,clean_business,pyramid_argument,6,True,True,1.68,
comp_005_podcast_tech_humanity,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.66,L1
comp_006,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.66,L1
comp_007,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.60,
comp_008,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.55,
comp_009,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.57,L1
comp_010,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.58,
comp_011,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.58,
comp_012,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.56,L1
comp_013,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.58,
comp_014,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.56,
comp_015,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.59,L1
comp_016,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.59,
comp_017,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.53,
comp_018,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.57,L1
comp_019,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.68,
comp_020,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.59,
comp_021,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.52,L1
comp_022,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.61,
comp_023,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.60,
comp_024,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.61,L1
comp_025,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.56,
comp_026,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.60,
comp_027,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.55,L1
comp_028,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.56,
comp_029,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.56,
comp_030,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.61,L1
comp_031,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.51,
comp_032,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.61,
comp_033,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.65,L1
comp_034,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.53,
comp_035,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.51,
comp_036,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.60,L1
comp_037,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.54,
comp_038,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.61,
comp_039,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.58,L1
comp_040,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.63,
comp_041,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.71,
comp_042,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.69,L1
comp_043,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.57,
comp_044,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.59,
comp_045,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,2.11,L1
comp_046,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.55,
comp_047,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.58,
comp_048,degraded,video,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.78,L1
comp_049,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.84,
comp_050,passed,image,xiaohongshu,clean_business,pyramid_argument,4,True,True,1.57,
